CN,s5,s4,s3,s2,s1
1,0,0,1.png,1.png,1.png
1,0,0,1.png,1.png,2.png
1,0,0,1.png,1.png,3.png
1,0,0,1.png,1.png,4.png
1,0,0,1.png,1.png,5.png
1,0,0,1.png,2.png,2.png
1,0,0,1.png,2.png,3.png
1,0,0,1.png,2.png,4.png
1,0,0,1.png,2.png,5.png
1,0,0,1.png,3.png,3.png
1,0,0,1.png,3.png,4.png
1,0,0,1.png,3.png,5.png
1,0,0,1.png,4.png,4.png
1,0,0,1.png,4.png,5.png
1,0,0,1.png,5.png,5.png
1,0,0,2.png,2.png,2.png
1,0,0,2.png,2.png,3.png
1,0,0,2.png,2.png,4.png
1,0,0,2.png,2.png,5.png
1,0,0,2.png,3.png,3.png
1,0,0,2.png,3.png,4.png
1,0,0,2.png,3.png,5.png
1,0,0,2.png,4.png,4.png
1,0,0,2.png,4.png,5.png
1,0,0,2.png,5.png,5.png
1,0,0,3.png,3.png,3.png
1,0,0,3.png,3.png,4.png
1,0,0,3.png,3.png,5.png
1,0,0,3.png,4.png,4.png
1,0,0,3.png,4.png,5.png
1,0,0,3.png,5.png,5.png
1,0,0,4.png,4.png,4.png
1,0,0,4.png,4.png,5.png
1,0,0,4.png,5.png,5.png
1,0,0,5.png,5.png,5.png
